Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Sprouted moong poha,192.6,13.81100727,2.90238837,3.577362409,1.002076843,1.625129803,114.6521288,14.7403946,1.261682243,9.989615784,Sprouted moong poha,Veg,Breakfast
Pearl millet ladoo (Bajra ladoo),319.66,15.94819496,3.006319214,2.521429018,8.584120628,1.876994306,3.835325033,37.14571732,1.476568854,0.0,,,
Paushtik ladoo,485.87,12.4189598,1.574495235,5.141292938,7.845720049,0.940580814,1.253421697,4.254224381,0.335480684,0.0,Paushtik ladoo,Veg,Any
Paushtik roti,149.26,17.81455179,4.803698245,1.01165751,1.360042878,3.845638483,114.5383894,35.33431596,1.755326276,4.455312877,Paushtik roti,Veg,Any
Semolina carrot vada (Suji gajar vada),699.53,0.932054379,0.223006876,10.58853802,0.172973282,0.152959844,10.45988021,3.783969236,0.051463125,0.135805469,,,
Dhokla,216.49,14.17155527,6.212758095,2.438911728,2.207954178,2.286479745,173.6893159,56.91255947,0.642061989,0.314102268,Dhokla,Veg,Breakfast
Kashmiri tea (Kehwa),24.9,21.00401606,0.682730924,2.048192771,20.64257028,0.642570281,1.164658635,12.81124498,0.281124498,0.240963855,,,
Steeped hot coffee,15.91,18.91891892,2.451288498,2.07416719,18.60465116,0.0,17.72470145,65.36769327,0.377121307,1.885606537,Steeped hot coffee,Veg,Any
Hot chocolate,90.01,10.02110877,3.810687701,5.12165315,9.843350739,0.0,40.03999556,126.2415287,0.36662593,4.021775358,Hot chocolate,Veg,Any
Cold coffee (with cream),82.76,14.47559207,2.332044466,3.975350411,14.39101015,0.0,18.54760754,77.85161914,0.169163847,3.093281779,,,
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,14.58469588,2.629169392,3.623283192,13.00196207,0.353172008,21.75277959,89.33943754,0.183126226,9.14323087,,,
Flavoured milkshake,66.78,12.95297993,3.084755915,4.237795747,12.89308176,0.0,24.46840371,112.3839473,0.164719976,5.420784666,Flavoured milkshake,Veg,Any
Jal jeera,30.24,22.15608466,1.455026455,0.85978836,18.88227513,3.141534392,713.0291005,81.74603175,2.777777778,7.374338624,Jal jeera,Veg,Any
Gingo,48.02,25.86422324,0.29154519,0.124947938,25.15618492,0.354019159,44.77301125,13.1820075,0.437317784,17.47188671,Gingo,Veg,Any
Mintade,40.32,26.26488095,0.074404762,0.049603175,25.9672619,0.074404762,66.19543651,5.208333333,0.124007937,21.08134921,Mintade,Veg,Any
Canjee,6.61,6.656580938,3.63086233,6.354009077,3.177004539,5.446293495,650.9833585,88.0484115,2.571860817,7.866868381,Canjee,Veg,Any
Cauliflower canjee (Phoolgobhi ki canjee),6.9,5.072463768,5.652173913,6.086956522,1.304347826,7.101449275,600.7246377,90.72463768,3.188405797,113.9130435,,,
Potato canjee (Aloo canjee),16.26,16.54366544,2.70602706,2.398523985,0.61500615,2.644526445,221.3407134,32.04182042,1.35301353,47.47847478,,,
Vermicelli porridge (Semiya/Seviyan porridge),78.4,13.46938776,3.18877551,3.801020408,8.979591837,0.612244898,83.32908163,93.06122449,0.255102041,6.147959184,,,
Semolina upma (Suji/Rava upma),147.89,11.0284671,2.231388194,5.064575022,0.885793495,2.190817499,68.69294746,14.58516465,0.743796065,3.137467036,,,
Vermicelli upma (Semiya/Seviyan upma),149.11,11.32050164,2.085708537,4.996311448,0.938904165,2.152773121,68.27174569,13.61411039,0.623700624,3.11179666,,,
Rice upma,151.27,11.87281021,1.738613076,4.931579295,0.74700866,1.401467575,67.26383288,11.61499306,0.442916639,3.067362993,Rice upma,Veg,Breakfast
